Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Source,Accuracy,Drainage Name,HUC 8 Number,Year,Month,Day,Status,Comments,record_type,disposal,Museum_Cat_No,fresh_marine_intro,Reference 1,Type 1,Date 1,Author 1,Title 1,Publisher 1,Location 1,Reference 2,Type 2,Date 2,Author 2,Title 2,Publisher 2,Location 2,Reference 3,Type 3,Date 3,Author 3,Title 3,Publisher 3,Location 3,Reference 4,Type 4,Date 4,Author 4,Title 4,Publisher 4,Location 4,Reference 5,Type 5,Date 5,Author 5,Title 5,Publisher 5,Location 5,Reference 6,Type 6,Date 6,Author 6,Title 6,Publisher 6,Location 6
116829,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Long Point Bay buoy N",42.71500015,-80.12220001,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116858,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Mohawk Island buoy EA4",42.81359863,-79.51719666,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116838,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN8",42.74330139,-80.09609985,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116845,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN10",42.76779938,-80.05690002,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116847,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN11",42.77890015,-80.04779816,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116849,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN12",42.7773,-80.0457,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116851,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN14",42.78390121,-80.03780365,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116853,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN15",42.7881012,-80.04139709,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116855,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN16",42.78829956,-80.03970337,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116839,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN2",42.73970032,-80.09059906,Map derived,Accurate,Lake Erie,4120200,1992,12,,established,,Literature,,,Freshwater,26189,Report,1993,"Wormington, A., C.A. Timmins, and R.M. Dermott.","Distribution of zebra mussels on Canadian navigation buoys on the Great Lakes and upper St. Lawrence River, December 1992.",Fisheries and Oceans Canada,"Burlington, Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
