YEAR,STATE_DESCRIPTION,STATE_CODE,NAICS_CODE,INDUSTRY,BUSINESS_CLASSIFICATION_S,ANNUAL_PAYROLL_S,EMPLOYMENT_S,AVG_SALARY_S,BUSINESS_CLASSIFICATION_B,ANNUAL_PAYROLL_B,EMPLOYMENT_B,AVG_SALARY_B
2008,New Hampshire,NH,48-49,Transportation and Warehousing,Small Business,439218000,13038,33687.528762080074,Large Business,222212000.0,6492.0,34228.589032655575
2008,New Hampshire,NH,51,Information,Small Business,699262000,12656,55251.422250316056,Large Business,738101000.0,9649.0,76495.07721007358
2008,New Hampshire,NH,52,Finance and Insurance,Small Business,1528798000,21658,70588.14294948749,Large Business,1207746000.0,17927.0,67370.2236849445
2008,New Hampshire,NH,53,Real Estate and Rental and Leasing,Small Business,380848000,10722,35520.238761425106,Large Business,55562000.0,2236.0,24848.837209302324
2008,New Hampshire,NH,54,"Professional, Scientific, and Technical Services",Small Business,2845252000,44788,63527.10547468072,Large Business,274315000.0,7293.0,37613.46496640614
2008,New Hampshire,NH,55,Management of Companies and Enterprises,Small Business,179010000,2788,64207.31707317073,Large Business,1035980000.0,10469.0,98956.92043175088
2008,New Hampshire,NH,61,Educational Services,Small Business,574240000,18890,30399.15299100053,Large Business,489227000.0,18378.0,26620.252475786267
2008,New Hampshire,NH,62,Health Care and Social Assistance,Small Business,3180838000,85906,37026.95970013736,Large Business,2042163000.0,41716.0,48953.95052258126
2008,New Hampshire,NH,71,"Arts, Entertainment, and Recreation",Small Business,439840000,17088,25739.700374531836,Large Business,29393000.0,4125.0,7125.575757575758
2008,New Hampshire,NH,72,Accommodation and Food Services,Small Business,1183110000,75876,15592.67752649059,Large Business,256905000.0,18028.0,14250.332815620146
2008,New Hampshire,NH,81,Other Services (except Public Administration),Small Business,1020202000,38586,26439.693152957032,Large Business,65465000.0,1918.0,34131.90823774765
2008,New Jersey,NJ,21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,77249000,1248,61898.23717948718,Large Business,46864000.0,725.0,64640.0
