"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"283153","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Private residence near Kaloko Hills Dr and Kaloko Dr","19.69638","-155.96882","reported","Accurate","Hawaii","20010000","2009","5","31","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283155","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Old Kalapana Rd at Keone Rd]","19.34578","-154.9891","reported","Accurate","Hawaii","20010000","2009","6","13","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283156","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Macadamia Orchard at eastern end of Macadamia Nut Rd","19.65601","-155.01348","reported","Accurate","Hawaii","20010000","2009","6","8","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283158","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Resort on S Kaniku Dr at Kings Hwy Foot Trail","19.9352","-155.86943","reported","Accurate","Hawaii","20010000","2009","5","27","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283159","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Kapoho Kalapana Rd inside Malama-Ki Forest Reserve]","19.43795","-154.86692","reported","Accurate","Hawaii","20010000","2009","6","14","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283162","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Macadamia Orchard off Kapoho Rd between Pahoa Kalapana Rd and Tangerine Rd","19.48914","-154.93754","reported","Accurate","Hawaii","20010000","2009","5","19","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283163","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Stainback Hwy in the center of Waiakea Forest Reserve]","19.61142","-155.11936","reported","Accurate","Hawaii","20010000","2009","6","7","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283149","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","Amy BH Greenwell Ethnobotanical Garden","19.49079","-155.91246","reported","Accurate","Hawaii","20010000","2009","6","17","established","","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"282996","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Mamalahoa Rd just North of N ALA Rd]","19.57779","-155.06437","reported","Accurate","Hawaii","20010000","2009","7","14","established","survey site a074.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"283036","61","Amphibians-Frogs","Eleutherodactylidae","Eleutherodactylus planirostris","Greenhouse Frog","United States of America","HI","Hawaii","[Kapoho Kalapana Rd just South of Ahalanui Park]","19.46398","-154.837","reported","Accurate","Hawaii","20010000","2009","7","14","established","survey site a122.","Literature","","","Freshwater","24501","Database","2012","Beard, K., and C. Olson.","Eleutherodactylus distributions in Hawaii.","Utah State University","Logan, UT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
