,Specimen Number,Species ID,Group,Family,Scientific Name,Common Name,Country,State,County,Locality,Latitude,Longitude,Drainage Name,Year,Month,Day,cluster
26,116843,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Generating Station buoy EN9",0.7464773291064892,-1.3973053633334371,Lake Erie,1992,12.0,,3
27,116830,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Nanticoke Shoal buoy EA8",0.7457494871894336,-1.3973210760090942,Lake Erie,1992,12.0,,3
28,116860,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Port Colborne buoy E",0.7474041090622079,-1.3837458787326105,Lake Erie,1992,12.0,,3
29,116861,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Port Colborne buoy E3",0.7480777557134625,-1.3832310896809445,Lake Erie,1992,12.0,,3
30,116831,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET1",0.7464913105900612,-1.397518283030205,Lake Erie,1992,12.0,,3
31,116833,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET11",0.7464720693822555,-1.3976055016707831,Lake Erie,1992,12.0,,3
32,116834,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET12",0.7466849890790233,-1.397533995705862,Lake Erie,1992,12.0,,3
33,116835,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET14",0.7467286648963568,-1.397586326785489,Lake Erie,1992,12.0,,3
34,116832,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy ET2",0.7465017635414843,-1.397471145177767,Lake Erie,1992,12.0,,3
35,116836,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Stelco Wharf Approach buoy NTB",0.7463900439688665,-1.3974276025290555,Lake Erie,1992,12.0,,3
36,116857,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (eastern), Tecumseh Reef buoy EA6",0.7468997064649205,-1.391453333169096,Lake Erie,1992,12.0,,3
37,116827,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy EP2",0.7307588861835796,-1.4400415088368055,Lake Erie,1992,12.0,,3
38,116826,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy P",0.7306628792866189,-1.4412544456462983,Lake Erie,1992,12.0,,3
39,116828,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"Lake Erie (western), Pelee Passage buoy X",0.7297518118320242,-1.4392718552885904,Lake Erie,1992,12.0,,3
40,116945,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D12",0.7892239273867478,-1.2962752848670416,Raisin River-St. Lawrence River,1992,12.0,,0
41,116943,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D13",0.7890633387696073,-1.2965230919502277,Raisin River-St. Lawrence River,1992,12.0,,0
42,116941,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D14",0.7891122078141303,-1.2965614413717501,Raisin River-St. Lawrence River,1992,12.0,,0
43,116939,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D18",0.7890389043346123,-1.2967499933051,Raisin River-St. Lawrence River,1992,12.0,,0
44,116937,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D21",0.7887579408825603,-1.2969000622992404,Raisin River-St. Lawrence River,1992,12.0,,0
45,116936,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D25",0.7883163221417904,-1.29754587897744,Raisin River-St. Lawrence River,1992,12.0,,0
46,116935,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D26",0.7884717175317418,-1.2973136512267562,Raisin River-St. Lawrence River,1992,12.0,,0
47,116934,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D28",0.7881034024450226,-1.2980554748019166,Raisin River-St. Lawrence River,1992,12.0,,0
48,116933,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D30",0.7879341585655885,-1.2983887695081286,Raisin River-St. Lawrence River,1992,12.0,,0
49,116952,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy C49",0.7893792562796547,-1.2951983023994953,Raisin River-St. Lawrence River,1992,12.0,,0
50,116947,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D10",0.7893688035027645,-1.2959838017919894,Raisin River-St. Lawrence River,1992,12.0,,0
51,116950,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Lake St. Francis, buoy D5",0.7893827184892919,-1.2954462426513031,Raisin River-St. Lawrence River,1992,12.0,,0
52,116866,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River, Spit Head West buoy HJ",0.7721912812076838,-1.3329655220514403,Headwaters St. Lawrence River,1992,12.0,,0
53,116907,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Hamilton Island buoy D59",0.7865221505488107,-1.3007695022804064,Raisin River-St. Lawrence River,1992,12.0,,0
54,116905,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Hamilton Island buoy D63",0.7864261436518499,-1.3009143782218902,Raisin River-St. Lawrence River,1992,12.0,,0
55,116903,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Hamilton Island buoy D65",0.7863284055628041,-1.3011376843730365,Raisin River-St. Lawrence River,1992,12.0,,0
56,116914,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Horseback Shoal buoy D55",0.786770024303574,-1.3004063802463437,Raisin River-St. Lawrence River,1992,12.0,,0
57,116913,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Horseback Shoal buoy D56",0.7867891990143352,-1.3004256881257268,Raisin River-St. Lawrence River,1992,12.0,,0
58,116932,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Ile Cherry buoy D34/2",0.7878084573348659,-1.2985389716708906,Raisin River-St. Lawrence River,1992,12.0,,0
59,116922,5,Mollusks-Bivalves,Dreissenidae,Dreissena polymorpha,zebra mussel,Canada,ONT,,"St. Lawrence River (Lake St. Francis), Lancaster Bar buoy D42",0.7875501308032125,-1.2994953127917492,Raisin River-St. Lawrence River,1992,12.0,,0
